size;time
4;0.008046204
6;0.030878990000000002
8;0.09185665000000001
10;0.2785459
12;0.7714019
14;1.301961
16;1.524741
18;1.9071500000000001
20;2.59988
22;3.816547
24;5.851157
26;9.034924999999998
28;13.67843
30;20.619720000000004
32;30.092959999999998
34;43.01019
36;60.84208000000001
38;83.40012
40;128.19789999999998
42;450.00
44;999999999
46;999999999
48;999999999
