size;time;
4;0.11709750000000001;
6;0.12307000000000001;
8;0.13091709999999998;
10;0.1461967;
12;0.1760548;
14;0.23847210000000002;
16;0.3056651;
18;0.5245128;
20;0.8044342;
22;1.4148979999999998;
24;2.252616;
26;5.102582;
28;8.652771;
30;10.7644;
32;17.51376;
34;43.9709;
36;57.342420000000004;
38;79.54553000000001;
40;161.68630000000002;
42;205.83180000000002;
44;315.6188;
46;643.7520000000001;
48;882.9721999999999;
